id_marks,id_targets,timestamps,ranges,azimuths,elevations,dopplers,powers,type,beam_ids,encoder_radian
1734,0,28397,48184,0.47195,0.0075387,0,6.51E+05,0,-1,0.55223
1732,0,28397,51179,0.7204,0.0082326,0,9.08E+06,0,-1,0.5645
1735,0,28397,50977,0.46884,0.0069094,0,1.92E+06,0,-1,0.5645
1737,0,28397,44856,0.56725,0.0098927,0,1.19E+05,0,-1,0.5645
1748,0,28496,4544.8,0.73257,0.30523,0,1160,0,-1,0.60746
1750,0,28537,3.36E+05,0.83413,0.010368,3,12054,0,-1,0.62586
1760,0,28538,44625,0.49423,0.013483,0,82057,0,-1,0.632
1756,0,28588,1.49E+05,0.93984,0.094632,0,3,0,-1,0.66882
1771,0,28683,1.05E+05,0.94384,0.010046,0,6415,0,-1,0.73017
1773,0,28692,46340,0.80458,0.018946,0,705,0,-1,0.73017
1772,0,28677,36948,0.76234,0.0079323,0,4184,0,-1,0.76085
1780,0,28683,1.06E+05,0.79507,0.011845,0,3082,0,-1,0.79153
1790,0,28837,1.45E+05,0.77099,0.064528,1,53,0,-1,0.79767
1784,0,28737,41957,0.85028,0.013401,0,5006,0,-1,0.82835
1791,0,28837,45602,0.88298,0.0033879,0,62825,0,-1,0.82835
1789,0,28837,1.45E+05,1.0325,0.06838,0,258,0,-1,0.82835
1802,0,28887,41631,1.0692,0.03303,0,10856,0,-1,0.85289
1807,0,28930,41119,1.0202,0.0034043,0,13868,0,-1,0.89584
1817,0,28999,43950,0.92354,0.0045439,0,638,0,-1,0.90812
1812,0,28938,1507,1.1473,0.30845,0,9.74E+05,0,-1,0.92652
1820,0,29042,42460,1.035,0.005905,0,15204,0,-1,0.94493
1824,0,29042,40498,0.94409,0.0058659,0,1090,0,-1,0.94493
1821,0,29109,2.28E+05,1.263,0.0229,0,1790,0,-1,0.97561
1830,0,29157,3.23E+05,1.2677,0.0085212,3,1063,0,-1,1.0002
1839,0,29181,41249,1.1488,0.033137,1,9664,0,-1,1.0799
